Date,Demand,Socal Citygate,Outage,Wind,Solar,Sp LMP
1/1/2024,21598,2.9,8324,312,-11,44.53
1/1/2024,21000,2.9,8324,351,-5,44.18
1/1/2024,20396,2.9,8324,340,-21,45.34
1/1/2024,19911,2.9,8324,334,-34,44.79
1/1/2024,19743,2.9,8324,338,-37,44.97
1/1/2024,20061,2.9,8324,379,-37,42.64
1/1/2024,20708,2.9,8324,447,-34,45.83
1/1/2024,21078,2.9,8324,437,779,40.91
1/1/2024,20856,2.9,8324,368,4937,33.14
1/1/2024,20660,2.9,8324,392,7264,28.5
1/1/2024,20752,2.9,8324,614,9322,23.41
1/1/2024,20250,2.9,8324,864,9681,14.27
1/1/2024,19874,2.9,8324,829,10247,4.44
1/1/2024,19833,2.9,8324,934,10502,2.09
1/1/2024,19979,2.9,8324,922,10531,4.29
1/1/2024,20384,2.9,8324,700,7684,35.82
1/1/2024,22272,2.9,8324,538,1452,43.17
1/1/2024,24536,2.9,8324,490,-28,50.45
1/1/2024,24841,2.9,8324,558,-44,50.55
1/1/2024,24520,2.9,8324,646,-43,50.03
1/1/2024,24417,2.9,8324,481,-53,46.64
1/1/2024,23893,2.9,8324,474,-54,45.22
1/1/2024,22801,2.9,8324,508,-54,42.85
1/1/2024,21567,2.9,8324,622,-57,38.85
1/2/2024,20771,2.95,9385,666,-52,44
1/2/2024,20224,2.95,9385,601,-49,43.84
1/2/2024,19829,2.95,9385,680,-53,42.09
1/2/2024,19611,2.95,9385,693,-56,43.28
1/2/2024,20030,2.95,9385,620,-58,46.08
1/2/2024,21446,2.95,9385,488,-61,46.92
1/2/2024,23294,2.95,9385,434,-55,52.35
1/2/2024,24658,2.95,9385,428,1876,47.17
1/2/2024,25466,2.95,9385,555,7827,30.64
1/2/2024,25509,2.95,9385,884,10507,22.3
1/2/2024,24970,2.95,9385,935,10018,19.35
1/2/2024,24462,2.95,9385,730,10477,15.16
1/2/2024,23449,2.95,9385,712,10100,14.03
1/2/2024,23344,2.95,9385,812,9410,16.93
1/2/2024,23981,2.95,9385,894,8860,24.79
1/2/2024,24450,2.95,9385,829,6660,47.7
1/2/2024,25663,2.95,9385,794,1284,50.55
1/2/2024,27431,2.95,9385,678,-26,62.03
1/2/2024,27325,2.95,9385,807,-51,66.46
1/2/2024,26865,2.95,9385,950,-51,64.62
1/2/2024,26308,2.95,9385,1189,-48,62.24
1/2/2024,25686,2.95,9385,1092,-48,64.61
1/2/2024,24234,2.95,9385,1017,-51,68.84
1/2/2024,22968,2.95,9385,1257,-51,59.94
1/3/2024,22126,3.62,9878,1790,-51,62.19
1/3/2024,21610,3.62,9878,2059,-51,52.25
1/3/2024,21381,3.62,9878,2138,-52,49.55
1/3/2024,21197,3.62,9878,2768,-53,50.12
1/3/2024,20948,3.62,9878,3186,-53,46.64
1/3/2024,21898,3.62,9878,3572,-54,58.36
1/3/2024,23601,3.62,9878,3721,-41,61.52
1/3/2024,25003,3.62,9878,3796,710,48.31
1/3/2024,25614,3.62,9878,3515,4667,42.19
1/3/2024,25389,3.62,9878,3699,7719,38.53
1/3/2024,24769,3.62,9878,3758,8586,32.95
1/3/2024,23640,3.62,9878,3837,8045,28.24
1/3/2024,23294,3.62,9878,3750,7394,33.17
1/3/2024,22912,3.62,9878,3628,6682,36.39
1/3/2024,23669,3.62,9878,3482,6243,46.36
1/3/2024,24398,3.62,9878,3505,4962,60.74
1/3/2024,25825,3.62,9878,3868,990,65.59
1/3/2024,27532,3.62,9878,4112,-29,74.13
1/3/2024,27605,3.62,9878,4353,-26,74.7
1/3/2024,27131,3.62,9878,4506,-48,75.88
1/3/2024,26608,3.62,9878,4329,-45,76.07
1/3/2024,25899,3.62,9878,4295,-49,69.85
1/3/2024,24579,3.62,9878,4089,-53,60.53
1/3/2024,23333,3.62,9878,4024,-53,49.11
1/4/2024,22140,3.91,10447,3956,-53,51.32
1/4/2024,21708,3.91,10447,4010,-49,48.38
1/4/2024,21481,3.91,10447,3970,-49,46.11
1/4/2024,21172,3.91,10447,3816,-50,45.52
1/4/2024,21179,3.91,10447,3134,-50,49.33
1/4/2024,22444,3.91,10447,2990,-50,59.66
1/4/2024,24413,3.91,10447,2835,-44,68.08
1/4/2024,25605,3.91,10447,2643,1762,59.98
1/4/2024,25756,3.91,10447,2868,7678,42.05
1/4/2024,24846,3.91,10447,3006,10761,35.28
1/4/2024,23953,3.91,10447,2408,11413,41.59
1/4/2024,23519,3.91,10447,2461,11951,43.62
1/4/2024,23757,3.91,10447,2827,12135,39.64
1/4/2024,23674,3.91,10447,3044,12544,36
1/4/2024,23652,3.91,10447,2258,12618,41.76
1/4/2024,23341,3.91,10447,1481,8898,51.89
1/4/2024,24931,3.91,10447,2335,1696,62.04
1/4/2024,27080,3.91,10447,2934,-36,67.53
1/4/2024,27284,3.91,10447,2184,-34,64.26
1/4/2024,27139,3.91,10447,1568,-16,64.99
1/4/2024,26525,3.91,10447,1984,-31,66.3
1/4/2024,25694,3.91,10447,2431,-30,60.12
1/4/2024,24858,3.91,10447,1915,-32,56.6
1/4/2024,23803,3.91,10447,1784,-32,50.82
1/5/2024,22778,5.72,10369,2286,-33,53.18
1/5/2024,21923,5.72,10369,1863,-33,51.75
1/5/2024,21332,5.72,10369,1856,-33,51.51
1/5/2024,21256,5.72,10369,1918,-34,53.4
1/5/2024,21524,5.72,10369,2084,-34,53.76
1/5/2024,22581,5.72,10369,1951,-34,59.91
1/5/2024,24334,5.72,10369,1746,-11,61.7
1/5/2024,25553,5.72,10369,1833,871,61.69
1/5/2024,25669,5.72,10369,1474,3943,57.23
1/5/2024,24413,5.72,10369,1169,6724,61.06
1/5/2024,23879,5.72,10369,977,9682,58
1/5/2024,22399,5.72,10369,1060,9675,52.5
1/5/2024,22275,5.72,10369,1173,9328,47.99
1/5/2024,22905,5.72,10369,1360,10554,41.72
1/5/2024,23811,5.72,10369,2141,11461,36.01
1/5/2024,23763,5.72,10369,3304,8268,58.36
1/5/2024,24653,5.72,10369,2986,1594,57.49
1/5/2024,26607,5.72,10369,2038,6,67.84
1/5/2024,26748,5.72,10369,1887,1,63.61
1/5/2024,26361,5.72,10369,2224,2,64.47
1/5/2024,26003,5.72,10369,1712,8,60.14
1/5/2024,25608,5.72,10369,1584,-14,66.48
1/5/2024,24445,5.72,10369,1687,-27,65.71
1/5/2024,23211,5.72,10369,1490,-32,63.58
1/6/2024,22622,5.72,10523,1375,-33,65.5
1/6/2024,21786,5.72,10523,1270,-29,64.06
1/6/2024,21257,5.72,10523,1244,-30,61.09
1/6/2024,21017,5.72,10523,1023,-34,59.63
1/6/2024,21130,5.72,10523,872,-34,60.74
1/6/2024,21701,5.72,10523,689,-28,68.44
1/6/2024,22706,5.72,10523,459,-20,73.15
1/6/2024,23182,5.72,10523,471,1910,65.77
1/6/2024,22956,5.72,10523,586,7926,48.38
1/6/2024,22732,5.72,10523,666,10635,30.99
1/6/2024,23063,5.72,10523,611,10819,28.95
1/6/2024,23054,5.72,10523,1198,10664,24.92
1/6/2024,23079,5.72,10523,2251,10126,22.89
1/6/2024,23496,5.72,10523,3241,8751,23.42
1/6/2024,22803,5.72,10523,3580,6074,34.58
1/6/2024,22960,5.72,10523,3510,2602,63.82
1/6/2024,23994,5.72,10523,3866,527,69.97
1/6/2024,25943,5.72,10523,4223,56,71.19
1/6/2024,26014,5.72,10523,3833,9,68.82
1/6/2024,25776,5.72,10523,3654,-2,68.96
1/6/2024,25193,5.72,10523,3995,-21,68.48
1/6/2024,24621,5.72,10523,4128,-34,69.37
1/6/2024,23688,5.72,10523,3656,-38,61.61
1/6/2024,22814,5.72,10523,3504,-32,57.93
1/7/2024,22177,5.72,10817,3280,-34,59.16
1/7/2024,21487,5.72,10817,3066,-23,57.52
1/7/2024,21110,5.72,10817,3143,-24,57.91
1/7/2024,20632,5.72,10817,3436,-25,56.63
1/7/2024,20561,5.72,10817,3619,-36,57.06
1/7/2024,20785,5.72,10817,3531,-31,58.59
1/7/2024,21607,5.72,10817,3568,-36,61.42
1/7/2024,22226,5.72,10817,3941,925,46.57
1/7/2024,21518,5.72,10817,4055,6459,49.33
1/7/2024,20652,5.72,10817,4132,10830,29.61
1/7/2024,20541,5.72,10817,4475,11865,27.11
1/7/2024,20643,5.72,10817,4667,11759,18.12
1/7/2024,20751,5.72,10817,4629,12562,14.95
1/7/2024,21280,5.72,10817,4571,12961,0.55
1/7/2024,21338,5.72,10817,4376,12764,6.78
1/7/2024,21191,5.72,10817,4248,9303,40.17
1/7/2024,23199,5.72,10817,3877,1921,67.73
1/7/2024,26051,5.72,10817,3790,-48,82.27
1/7/2024,26572,5.72,10817,3626,-40,78.7
1/7/2024,26605,5.72,10817,3346,-36,79.28
1/7/2024,26327,5.72,10817,3013,-27,84.22
1/7/2024,25640,5.72,10817,2826,-41,81.76
1/7/2024,24888,5.72,10817,3037,-40,80.03
1/7/2024,23257,5.72,10817,2737,-30,72.6
1/8/2024,22911,5.75,10707,2495,-27,86.45
1/8/2024,22257,5.75,10707,2232,-33,81.3
1/8/2024,22429,5.75,10707,1738,-35,103.2
1/8/2024,22479,5.75,10707,1841,-38,103.34
1/8/2024,22609,5.75,10707,1775,-38,106.96
1/8/2024,24114,5.75,10707,1584,-36,129.63
1/8/2024,26750,5.75,10707,1454,-39,230.16
1/8/2024,28070,5.75,10707,1392,2162,258.86
1/8/2024,27642,5.75,10707,1270,9478,70.16
1/8/2024,26240,5.75,10707,1364,13242,42.24
1/8/2024,25038,5.75,10707,1495,13631,40.84
1/8/2024,24717,5.75,10707,1518,13261,41.25
1/8/2024,23892,5.75,10707,1389,13120,35.76
1/8/2024,24026,5.75,10707,1299,13272,38.08
1/8/2024,24833,5.75,10707,1268,13078,41.57
1/8/2024,24397,5.75,10707,1245,9793,57.77
1/8/2024,25831,5.75,10707,1127,2253,101.97
1/8/2024,28351,5.75,10707,1016,65,116.51
1/8/2024,28794,5.75,10707,1422,28,103.15
1/8/2024,28382,5.75,10707,1582,-44,114.77
1/8/2024,27860,5.75,10707,1642,-57,101.28
1/8/2024,26921,5.75,10707,1708,-55,94.43
1/8/2024,25455,5.75,10707,1614,-56,85.03
1/8/2024,23849,5.75,10707,1504,-56,76.26
1/9/2024,23662,4.99,9811,1582,-57,61.67
1/9/2024,23465,4.99,9811,1676,-56,63.8
1/9/2024,22891,4.99,9811,1596,-58,60.83
1/9/2024,22815,4.99,9811,1597,-57,58.58
1/9/2024,22722,4.99,9811,1644,-52,58.2
1/9/2024,23882,4.99,9811,2228,-52,66.63
1/9/2024,26507,4.99,9811,1933,-37,55.95
1/9/2024,27616,4.99,9811,1848,2076,68.5
1/9/2024,27918,4.99,9811,1951,9506,39.94
1/9/2024,27492,4.99,9811,1973,13107,14.75
1/9/2024,26486,4.99,9811,2125,13245,7.85
1/9/2024,25663,4.99,9811,2441,12652,-7.81
1/9/2024,24565,4.99,9811,3122,11298,-17.06
1/9/2024,23698,4.99,9811,3234,10221,-31.15
1/9/2024,23857,4.99,9811,3572,9609,-11.82
1/9/2024,23697,4.99,9811,4026,7238,46.76
1/9/2024,25487,4.99,9811,4167,1687,59.72
1/9/2024,27610,4.99,9811,4273,-50,67.02
1/9/2024,28031,4.99,9811,4139,-46,64.99
1/9/2024,27757,4.99,9811,3914,-53,64.8
1/9/2024,27537,4.99,9811,4040,-55,62.7
1/9/2024,26501,4.99,9811,3924,-55,63.1
1/9/2024,24975,4.99,9811,3727,-56,61.29
1/9/2024,23506,4.99,9811,3725,-57,56.64
1/10/2024,22910,6.16,10405,3559,-57,58.7
1/10/2024,23000,6.16,10405,3627,-57,59.51
1/10/2024,22306,6.16,10405,3716,-57,58.26
1/10/2024,21989,6.16,10405,3773,-58,54.37
1/10/2024,22202,6.16,10405,3860,-58,58.38
1/10/2024,23244,6.16,10405,3882,-58,69.57
1/10/2024,25627,6.16,10405,3708,-47,72.33
1/10/2024,27230,6.16,10405,3722,1693,66.27
1/10/2024,27530,6.16,10405,3963,7744,51.12
1/10/2024,26768,6.16,10405,4175,10958,41.07
1/10/2024,26245,6.16,10405,4349,11364,31.65
1/10/2024,25914,6.16,10405,4646,11247,26.22
1/10/2024,25698,6.16,10405,4761,10637,18.41
1/10/2024,25429,6.16,10405,4777,10586,19.74
1/10/2024,25408,6.16,10405,4755,9719,18.08
1/10/2024,25298,6.16,10405,4613,7210,49.85
1/10/2024,26398,6.16,10405,4758,1527,76.61
1/10/2024,28413,6.16,10405,5011,19,85.9
1/10/2024,28582,6.16,10405,4631,-16,87.88
1/10/2024,27952,6.16,10405,4378,-16,85.53
1/10/2024,27351,6.16,10405,4589,-15,81.35
1/10/2024,26719,6.16,10405,4840,-15,72.46
1/10/2024,25151,6.16,10405,4481,-16,67.83
1/10/2024,23709,6.16,10405,4641,-16,60.41
1/11/2024,22927,6.61,12298,4661,-16,59.7
1/11/2024,22930,6.61,12298,4358,-16,58.19
1/11/2024,22796,6.61,12298,4331,-16,57.42
1/11/2024,22076,6.61,12298,4395,-17,57.29
1/11/2024,22290,6.61,12298,4240,-17,59.35
1/11/2024,22984,6.61,12298,3982,-18,68.99
1/11/2024,25345,6.61,12298,4103,0,73.46
1/11/2024,26880,6.61,12298,4186,1280,65.56
1/11/2024,26524,6.61,12298,3877,7140,44.66
1/11/2024,25005,6.61,12298,3534,10573,24.22
1/11/2024,23558,6.61,12298,2970,11872,21.84
1/11/2024,22743,6.61,12298,2277,11734,18.76
1/11/2024,22633,6.61,12298,1837,12164,22.54
1/11/2024,23282,6.61,12298,2453,12385,22.11
1/11/2024,23347,6.61,12298,2751,11319,-6.75
1/11/2024,23513,6.61,12298,2779,9223,26.12
1/11/2024,25283,6.61,12298,2936,2196,76.61
1/11/2024,27722,6.61,12298,2874,-52,90.46
1/11/2024,28059,6.61,12298,3193,-51,89.38
1/11/2024,27818,6.61,12298,3465,-51,79.97
1/11/2024,27343,6.61,12298,3559,-12,75.52
1/11/2024,26844,6.61,12298,3547,-54,76.26
1/11/2024,25427,6.61,12298,3699,-55,71.36
1/11/2024,23952,6.61,12298,3573,-54,74.21
1/12/2024,23866,8,11567,3922,-54,68.18
1/12/2024,23409,8,11567,3734,-54,68.3
1/12/2024,22683,8,11567,3046,-54,65.95
1/12/2024,22649,8,11567,2268,-55,76.64
1/12/2024,22997,8,11567,2162,-56,79.6
1/12/2024,24175,8,11567,1784,-57,91.76
1/12/2024,26414,8,11567,2325,-44,101.52
1/12/2024,27794,8,11567,2447,2060,89.07
1/12/2024,27474,8,11567,2426,9196,50.42
1/12/2024,26214,8,11567,2407,11769,32.09
1/12/2024,25474,8,11567,2381,11675,27.7
1/12/2024,24718,8,11567,2501,11544,23.23
1/12/2024,25186,8,11567,3048,11102,26.88
1/12/2024,24930,8,11567,2944,10433,26.17
1/12/2024,24824,8,11567,2996,9745,31.99
1/12/2024,24953,8,11567,2845,7214,36.86
1/12/2024,25781,8,11567,2874,2006,69.49
1/12/2024,27542,8,11567,3173,-52,84.66
1/12/2024,27577,8,11567,3444,-52,74.04
1/12/2024,27214,8,11567,3244,-52,76.58
1/12/2024,26840,8,11567,3062,-53,69.59
1/12/2024,26290,8,11567,2981,-53,82.44
1/12/2024,25210,8,11567,2929,-53,86.39
1/12/2024,23872,8,11567,3048,-52,83.39
1/13/2024,22782,8,11236,3105,-52,140.55
1/13/2024,22009,8,11236,3023,-51,144.52
1/13/2024,21648,8,11236,2928,-51,175.59
1/13/2024,21328,8,11236,2659,-52,165.73
1/13/2024,21621,8,11236,2356,-52,194.24
1/13/2024,21866,8,11236,2207,-29,204.61
1/13/2024,22802,8,11236,2391,-9,239.38
1/13/2024,23500,8,11236,2615,2047,189.03
1/13/2024,24684,8,11236,2808,8305,103.38
1/13/2024,24283,8,11236,2607,10498,53.37
1/13/2024,24468,8,11236,2986,10139,1.56
1/13/2024,24088,8,11236,2826,9753,-7.19
1/13/2024,23324,8,11236,3189,9302,-11.05
1/13/2024,22698,8,11236,3288,8183,-29.11
1/13/2024,22791,8,11236,3570,7554,-15.87
1/13/2024,22814,8,11236,3532,6424,37.97
1/13/2024,23686,8,11236,3090,1580,109.31
1/13/2024,25804,8,11236,2758,-50,144.75
1/13/2024,26291,8,11236,3280,-53,162.04
1/13/2024,26001,8,11236,3114,-52,161.14
1/13/2024,25435,8,11236,3244,-49,171.94
1/13/2024,24974,8,11236,3477,-38,181.84
1/13/2024,23836,8,11236,3440,-34,186.49
1/13/2024,22702,8,11236,3422,-52,184.14
1/14/2024,22172,8,11123,3558,-54,175.55
1/14/2024,21332,8,11123,3637,-54,160
1/14/2024,20994,8,11123,3785,-54,158.05
1/14/2024,20312,8,11123,3775,-55,164.19
1/14/2024,20095,8,11123,3778,-55,166.1
1/14/2024,20419,8,11123,3445,-56,165.26
1/14/2024,21099,8,11123,3508,-38,164.78
1/14/2024,21823,8,11123,3590,1701,133.56
1/14/2024,22639,8,11123,3465,7127,49.5
1/14/2024,22704,8,11123,3352,10305,35.39
1/14/2024,22717,8,11123,3437,11006,-7.91
1/14/2024,21747,8,11123,3307,11227,-24.43
1/14/2024,20826,8,11123,3132,10346,-41.79
1/14/2024,20237,8,11123,2691,9991,-46.82
1/14/2024,20289,8,11123,2610,8851,-47.79
1/14/2024,20124,8,11123,3293,6947,22.6
1/14/2024,22115,8,11123,3149,1670,90.01
1/14/2024,24389,8,11123,3165,-24,156.77
1/14/2024,24675,8,11123,2751,-49,154.62
1/14/2024,24579,8,11123,2209,-48,163.67
1/14/2024,24139,8,11123,2057,-48,157.24
1/14/2024,23675,8,11123,2162,-48,158.69
1/14/2024,22575,8,11123,2160,-49,154.69
1/14/2024,21598,8,11123,2084,-49,143.48
1/15/2024,20992,12.14,11622,2226,-49,151.09
1/15/2024,20319,12.14,11622,2334,-49,155.45
1/15/2024,20316,12.14,11622,2599,-49,157.45
1/15/2024,20345,12.14,11622,2555,-49,152.92
1/15/2024,20250,12.14,11622,2395,-50,176.23
1/15/2024,21465,12.14,11622,2004,-52,173.39
1/15/2024,23211,12.14,11622,1846,-42,187.84
1/15/2024,24350,12.14,11622,1577,1860,184.33
1/15/2024,25435,12.14,11622,1360,7507,113.99
1/15/2024,25165,12.14,11622,1108,9194,98.61
1/15/2024,23517,12.14,11622,965,8576,104.81
1/15/2024,22989,12.14,11622,1283,8989,87.84
1/15/2024,23030,12.14,11622,1180,8715,107.01
1/15/2024,23383,12.14,11622,956,8371,113.67
1/15/2024,24149,12.14,11622,879,8243,110.25
1/15/2024,24575,12.14,11622,863,6606,149.42
1/15/2024,24676,12.14,11622,834,1628,211.81
1/15/2024,26815,12.14,11622,818,-18,229.27
1/15/2024,26997,12.14,11622,792,-29,228.78
1/15/2024,26573,12.14,11622,680,-50,220.27
1/15/2024,26088,12.14,11622,526,-52,208.43
1/15/2024,25236,12.14,11622,365,-54,216.83
1/15/2024,23726,12.14,11622,254,-56,205.66
1/15/2024,22419,12.14,11622,238,-56,199.01
1/16/2024,21705,13.52,12137,181,-56,209.45
1/16/2024,21559,13.52,12137,181,-57,210.29
1/16/2024,20834,13.52,12137,167,-56,207.68
1/16/2024,20697,13.52,12137,192,-58,210.39
1/16/2024,21290,13.52,12137,306,-59,219.32
1/16/2024,22641,13.52,12137,492,-60,288.73
1/16/2024,24900,13.52,12137,672,-49,327.5
1/16/2024,26635,13.52,12137,697,2055,366.27
1/16/2024,27005,13.52,12137,737,7449,126.2
1/16/2024,26491,13.52,12137,895,9786,95.69
1/16/2024,25463,13.52,12137,976,10321,86.08
1/16/2024,25119,13.52,12137,1018,10287,66.74
1/16/2024,25172,13.52,12137,986,10066,58.98
1/16/2024,25174,13.52,12137,996,9569,66.23
1/16/2024,25504,13.52,12137,1080,9002,66.78
1/16/2024,25190,13.52,12137,1206,7097,94.47
1/16/2024,25566,13.52,12137,1090,1877,177.66
1/16/2024,27394,13.52,12137,1366,-9,214.05
1/16/2024,27404,13.52,12137,1664,-56,210.49
1/16/2024,26922,13.52,12137,1970,-53,192.75
1/16/2024,26383,13.52,12137,2005,-54,172.57
1/16/2024,25562,13.52,12137,2171,-55,178.05
1/16/2024,23877,13.52,12137,2233,-56,159.33
1/16/2024,22876,13.52,12137,2399,-56,141.51
1/17/2024,22757,5.82,11889,2591,-56,81.5
1/17/2024,21854,5.82,11889,3022,-55,75.76
1/17/2024,21486,5.82,11889,3654,-56,70.9
1/17/2024,21156,5.82,11889,3965,-56,66
1/17/2024,21050,5.82,11889,4227,-56,65.61
1/17/2024,21811,5.82,11889,3862,-57,85.26
1/17/2024,24105,5.82,11889,3415,-47,90.18
1/17/2024,25869,5.82,11889,3300,841,75.36
1/17/2024,26300,5.82,11889,3279,3922,68.78
1/17/2024,26177,5.82,11889,3081,7466,60.18
1/17/2024,25453,5.82,11889,3137,8608,55.65
1/17/2024,25059,5.82,11889,3660,9544,43.98
1/17/2024,24533,5.82,11889,3314,8768,40.12
1/17/2024,24770,5.82,11889,3516,8309,38.37
1/17/2024,24289,5.82,11889,3569,8465,42.97
1/17/2024,24194,5.82,11889,3588,7019,52.97
1/17/2024,24532,5.82,11889,3738,2103,64.54
1/17/2024,26735,5.82,11889,3771,-14,69.42
1/17/2024,27030,5.82,11889,3810,-22,69.05
1/17/2024,26752,5.82,11889,4776,-41,64.65
1/17/2024,25914,5.82,11889,4988,-42,55.78
1/17/2024,25106,5.82,11889,4467,-43,52.6
1/17/2024,23927,5.82,11889,3867,-47,50.36
1/17/2024,22812,5.82,11889,3469,-48,53.31
1/18/2024,22094,3.23,11886,2945,-48,48.71
1/18/2024,21854,3.23,11886,3092,-48,49.14
1/18/2024,21394,3.23,11886,2583,-51,45.89
1/18/2024,21146,3.23,11886,2269,-52,50.23
1/18/2024,21178,3.23,11886,2198,-51,54.63
1/18/2024,22609,3.23,11886,1700,-53,65.26
1/18/2024,24670,3.23,11886,1585,-42,76.13
1/18/2024,26385,3.23,11886,1507,1923,65.57
1/18/2024,26571,3.23,11886,1156,7604,36.92
1/18/2024,25923,3.23,11886,1025,9889,21.46
1/18/2024,25067,3.23,11886,1209,10682,13.82
1/18/2024,24763,3.23,11886,1228,10581,12.91
1/18/2024,24302,3.23,11886,1338,10066,8.05
1/18/2024,24368,3.23,11886,1395,9265,5.96
1/18/2024,24188,3.23,11886,1260,8284,19.25
1/18/2024,23890,3.23,11886,1060,5542,48.66
1/18/2024,24634,3.23,11886,900,1303,70.63
1/18/2024,26914,3.23,11886,923,-30,71.91
1/18/2024,26899,3.23,11886,1268,-34,73.41
1/18/2024,26422,3.23,11886,1327,-33,68.94
1/18/2024,25803,3.23,11886,1352,-39,64.62
1/18/2024,25154,3.23,11886,1157,-48,70.43
1/18/2024,23786,3.23,11886,892,-53,66.39
1/18/2024,22513,3.23,11886,921,-52,58.17
1/19/2024,22201,3.43,11955,858,-53,64.74
1/19/2024,21522,3.43,11955,938,-53,64.37
1/19/2024,21397,3.43,11955,722,-53,60.71
1/19/2024,21196,3.43,11955,594,-54,66.02
1/19/2024,21292,3.43,11955,503,-55,69.16
1/19/2024,22443,3.43,11955,454,-54,78.44
1/19/2024,24246,3.43,11955,439,-48,82.48
1/19/2024,25779,3.43,11955,498,849,89.35
1/19/2024,25804,3.43,11955,528,3826,66.58
1/19/2024,25774,3.43,11955,466,5820,48.14
1/19/2024,25411,3.43,11955,317,6971,40.97
1/19/2024,25621,3.43,11955,226,7494,36.6
1/19/2024,25337,3.43,11955,216,7612,33.8
1/19/2024,25010,3.43,11955,280,6650,35.35
1/19/2024,24580,3.43,11955,332,4784,44.2
1/19/2024,25073,3.43,11955,323,2773,66.33
1/19/2024,25411,3.43,11955,421,789,86.01
1/19/2024,26718,3.43,11955,545,-44,92.17
1/19/2024,26659,3.43,11955,747,-53,91.09
1/19/2024,26032,3.43,11955,651,-53,89.74
1/19/2024,25317,3.43,11955,667,-53,80.41
1/19/2024,24628,3.43,11955,616,-53,75.55
1/19/2024,23448,3.43,11955,662,-55,74.54
1/19/2024,22278,3.43,11955,795,-54,71.79
1/20/2024,21763,3.43,13395,850,-55,64.56
1/20/2024,21144,3.43,13395,1055,-55,55.42
1/20/2024,20835,3.43,13395,1394,-54,54.21
1/20/2024,20246,3.43,13395,1166,-55,53.44
1/20/2024,20247,3.43,13395,1204,-55,58.45
1/20/2024,20543,3.43,13395,1047,-56,62.88
1/20/2024,21539,3.43,13395,1102,-54,63.92
1/20/2024,21767,3.43,13395,1213,535,54.94
1/20/2024,22424,3.43,13395,1335,2121,46.48
1/20/2024,22657,3.43,13395,1236,3615,51.32
1/20/2024,23590,3.43,13395,1139,5216,50.82
1/20/2024,23725,3.43,13395,1615,5184,48.99
1/20/2024,23501,3.43,13395,1714,4659,49.7
1/20/2024,23822,3.43,13395,1662,4300,60.73
1/20/2024,24033,3.43,13395,1727,2978,69.89
1/20/2024,24317,3.43,13395,1671,1405,78.3
1/20/2024,24559,3.43,13395,1889,350,87.75
1/20/2024,25542,3.43,13395,1858,-63,88.95
1/20/2024,25422,3.43,13395,1666,-56,77.72
1/20/2024,25015,3.43,13395,1234,-56,70.34
1/20/2024,24292,3.43,13395,1076,-48,60.99
1/20/2024,23986,3.43,13395,1184,-49,58.53
1/20/2024,23279,3.43,13395,1119,-58,58.4
1/20/2024,22439,3.43,13395,1277,-59,49.23
1/21/2024,21909,3.43,11991,1365,-59,51.55
1/21/2024,21712,3.43,11991,1530,-59,50.97
1/21/2024,21389,3.43,11991,1706,-60,47.89
1/21/2024,21283,3.43,11991,1974,-60,42.54
1/21/2024,20857,3.43,11991,1988,-60,41.39
1/21/2024,20509,3.43,11991,1791,-61,48.46
1/21/2024,21107,3.43,11991,1962,-60,47.49
1/21/2024,21093,3.43,11991,1901,446,50.64
1/21/2024,21480,3.43,11991,1560,2624,48.3
1/21/2024,21965,3.43,11991,1530,4794,48.75
1/21/2024,22360,3.43,11991,1753,7010,39.24
1/21/2024,22081,3.43,11991,2211,8003,37.63
1/21/2024,22207,3.43,11991,2258,8287,32.56
1/21/2024,22115,3.43,11991,2348,8106,33.78
1/21/2024,22084,3.43,11991,2566,7533,32.56
1/21/2024,22035,3.43,11991,2449,5317,39.38
1/21/2024,23110,3.43,11991,2391,1310,48.66
1/21/2024,24925,3.43,11991,1898,-48,56.98
1/21/2024,24945,3.43,11991,1533,-42,58.19
1/21/2024,24681,3.43,11991,1566,-34,57.93
1/21/2024,23980,3.43,11991,1854,-56,54.43
1/21/2024,23301,3.43,11991,1986,-56,47.74
1/21/2024,22594,3.43,11991,2072,-57,41.41
1/21/2024,21815,3.43,11991,2241,-56,39.94
1/22/2024,21780,3.33,12828,2238,-56,47.49
1/22/2024,21561,3.33,12828,2184,-56,45.44
1/22/2024,20828,3.33,12828,2003,-57,44.12
1/22/2024,20235,3.33,12828,2082,-57,41.45
1/22/2024,20240,3.33,12828,1713,-58,47.08
1/22/2024,21451,3.33,12828,1490,-58,56.93
1/22/2024,23580,3.33,12828,1421,-41,63.3
1/22/2024,25302,3.33,12828,1389,199,65.27
1/22/2024,26352,3.33,12828,1134,843,73.24
1/22/2024,27027,3.33,12828,1182,1446,80.3
1/22/2024,27123,3.33,12828,1259,2736,81.98
1/22/2024,26290,3.33,12828,1142,3611,73.39
1/22/2024,25282,3.33,12828,1184,2900,65.24
1/22/2024,25354,3.33,12828,1117,2938,63.42
1/22/2024,25480,3.33,12828,1133,2910,60.52
1/22/2024,25151,3.33,12828,1104,2169,71.33
1/22/2024,25791,3.33,12828,1025,946,70.26
1/22/2024,27040,3.33,12828,1427,-6,80.25
1/22/2024,27252,3.33,12828,1770,-52,73.29
1/22/2024,26546,3.33,12828,2049,-54,68.97
1/22/2024,25814,3.33,12828,2192,-55,60.82
1/22/2024,24913,3.33,12828,2023,-56,55.68
1/22/2024,23748,3.33,12828,2060,-58,48.92
